"Length"
"14"
"21"
"16"
"16"
"16"
"16"
"19"
"20"
"14"
"20"
"7"
"18"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"6"
"15"
"7"
"7"
"7"
"5"
"5"
"6"
"7"
"6"
"7"
"7"
"8"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"13"
"3"
"8"
"7"
"14"
"19"
"11"
"11"
"18"
"20"
"4"
"5"
"4"
"11"
"14"
"9"
"9"
"27"
"5"
"18"
"6"
"14"
"14"
"14"
"14"
"14"
"14"
"14"
"7"
"6"
"19"
"19"
"4"
"4"
"4"
"16"
"8"
"11"
"11"
"4"
"4"
"4"
"4"
"4"
"12"
"8"
"12"
"13"
"13"
"13"
"13"
"13"
"10"
"13"
"18"
"21"
"21"
"8"
"10"
"19"
"16"
"6"
"4"
"7"
"7"
"8"
"9"
"23"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"7"
"6"
"14"
"9"
"18"
"8"
"13"
"19"
"8"
"10"
"14"
"8"
"7"
"13"
"15"
"7"
"8"
"8"
"8"
"22"
